method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,scenario
fixed,404,3600,721,3600.0,-197.52999999999997,1628.1705963938973,3555.0,19.613954496434484,41.815384615384616,50.656033287101245,97.0,3.221046234608427,13.714646753253804,2190.0,2075.0,0.0,2075.0,burst
fixed,405,3600,721,3600.0,-203.0,1603.8876560332872,3707.0,19.46092466950244,41.32142857142857,49.94174757281554,100.0,3.263323799547729,12.232480512681372,2192.0,2075.0,0.0,2075.0,burst
fixed,401,3600,721,3600.0,-168.09,1273.638002773925,3194.0,19.252571382355928,44.96551724137931,40.12898751733703,79.0,3.302449225230748,12.53286359595153,2067.0,1991.0,0.0,1990.9999999999998,direction_switch
fixed,402,3600,721,3600.0,-179.45999999999998,1320.4271844660195,3163.0,19.85464679860667,44.10169491525424,41.36477115117892,81.0,3.161798460899065,12.509604442655872,2067.0,1989.0,0.0,1989.0,direction_switch
fixed,403,3600,721,3600.0,-147.24,1361.1664355062414,3215.0,20.149019444745825,42.93333333333333,42.55339805825243,84.0,3.0701375661084587,12.395004047842551,2076.0,2000.0,0.0,2000.0,direction_switch
fixed,404,3600,721,3600.0,-158.64,1331.7683772538142,3180.0,19.889811090176913,43.14754098360656,41.66990291262136,85.0,3.1449074284746517,13.714646753253804,2064.0,1986.0,0.0,1986.0,direction_switch
fixed,405,3600,721,3600.0,-141.68,1289.4160887656033,3143.0,19.626347441965,42.57627118644068,40.50624133148405,80.0,3.234287227686388,12.232480512681372,2067.0,1995.0,0.0,1995.0,direction_switch
fixed,401,3600,721,3600.0,-95.8,1080.7350901525658,2607.0,19.71134750088836,48.27777777777778,34.5506241331484,56.0,3.215363506296787,12.53286359595153,2013.0,1955.0,0.0,1954.9999999999998,unseen_mixed
fixed,402,3600,721,3600.0,-88.47999999999999,1076.9805825242718,2544.0,19.580630832159034,46.56603773584906,34.521497919556175,56.0,3.2319566029223847,12.509604442655872,2015.0,1957.0,0.0,1957.0000000000002,unseen_mixed
fixed,403,3600,721,3600.0,-98.04999999999998,1074.8252427184466,2599.0,19.571846421741498,47.07407407407408,34.438280166435504,56.0,3.245950925901458,12.395004047842551,2014.0,1957.0,0.0,1957.0000000000002,unseen_mixed
fixed,404,3600,721,3600.0,-96.21,1072.368932038835,2586.0,19.530626883318586,47.46296296296296,34.30790568654646,55.0,3.2623731620286134,13.714646753253804,2013.0,1956.0,0.0,1956.0,unseen_mixed
fixed,405,3600,721,3600.0,-90.22,1043.6061026352288,2609.0,19.324500914509162,48.31481481481482,33.65187239944522,56.0,3.3141982658690305,12.232480512681372,2018.0,1961.0,0.0,1961.0,unseen_mixed
ppo,401,3600,721,3600.0,-30.599999999999994,396.8404993065187,1796.0,6.825670615382649,27.0,26.92371705963939,70.0,4.8157464127763685,14.021877621384414,2062.0,1972.0,0.0,1972.0,burst
ppo,402,3600,721,3600.0,-26.199999999999992,405.00970873786406,1525.0,6.789326862223873,27.25,27.212205270457698,70.0,4.759113565061475,14.06461376323069,2066.0,1974.0,0.0,1974.0,burst
ppo,403,3600,721,3600.0,-25.029999999999994,383.89181692094314,1256.0,6.541161161371491,26.5,26.564493758668515,68.0,4.7749101916727295,13.915252772878436,2071.0,1979.0,0.0,1979.0,burst
ppo,404,3600,721,3600.0,-29.74999999999999,417.1400832177531,1475.0,6.978742979717285,25.75,27.718446601941746,69.0,4.696632735341361,14.016768798240342,2063.0,1970.0,0.0,1970.0000000000002,burst
ppo,405,3600,721,3600.0,-26.499999999999993,410.02912621359224,1566.0,6.990899176512646,27.5,26.937586685159502,68.0,4.831270455193658,14.363094733052222,2083.0,1990.0,0.0,1990.0000000000002,burst
ppo,401,3600,721,3600.0,-0.8599999999999948,75.49653259361997,295.0,3.10882830686125,11.409090909090908,6.943134535367545,21.0,7.073168857054555,12.53286359595153,2080.0,2061.0,0.0,2061.0,direction_switch
ppo,402,3600,721,3600.0,-0.729999999999998,81.46463245492372,247.0,3.298178144921895,11.894736842105264,7.420249653259362,21.0,6.944528560702183,12.509604442655872,2080.0,2063.0,0.0,2063.0,direction_switch
ppo,403,3600,721,3600.0,-0.8699999999999968,72.82662968099861,237.0,3.083031786272068,9.48,6.633841886269071,19.0,7.218036249923342,12.395004047842551,2080.0,2062.0,0.0,2062.0,direction_switch
ppo,404,3600,721,3600.0,-0.9700000000000001,77.57697642163662,321.0,3.232994612185144,11.06896551724138,6.9986130374479885,21.0,7.084162719642056,13.714646753253804,2080.0,2063.0,0.0,2063.0,direction_switch
ppo,405,3600,721,3600.0,-0.619999999999999,74.18862690707351,241.0,3.129610801870565,10.421052631578949,6.687933425797503,20.0,7.240485341785947,12.232480512681372,2080.0,2061.0,0.0,2061.0,direction_switch
ppo,401,3600,721,3600.0,-1.9499999999999993,77.13176144244106,261.0,3.2410617101952863,9.185185185185183,6.793342579750346,15.0,7.268240062228606,12.639040530477626,2056.0,2031.0,0.0,2031.0000000000002,unseen_mixed
ppo,402,3600,721,3600.0,-1.0499999999999983,82.62135922330097,256.0,3.4144881076667426,9.428571428571429,7.223300970873787,16.0,7.111994889526817,12.509604442655872,2056.0,2038.0,0.0,2038.0,unseen_mixed
