step,reward,scaled_training_reward,shield_rate,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
70.0,-2.75,-3.199999999999999,0.375,0.6071428571428571,24,0,11,0,24,0,142.0,5.916666666666667,4.125992889920416,2,19.0,0.2850322332067034,2,33.0,0.17885513772047554,7,94.0,0.11754694070928536,0,0.0,1.0,11,146.0
75.0,-3.75,-3.949999999999999,0.4,0.6,24,0,15,2,26,0,140.0,5.833333333333333,3.0473130809911537,6,38.0,0.0017221123686188263,5,55.0,0.22495445594208066,4,88.0,0.18009723842104394,0,0.0,1.0,15,181.0
80.0,-3.0,-4.549999999999998,0.40625,0.59375,24,0,12,4,28,0,147.0,6.125,3.9079242604512108,6,67.0,0.13119785980798074,6,83.0,0.24596723526088854,0,60.0,0.21319597907488066,0,2.0,0.9004758605712346,12,212.0
85.0,-3.0,-5.149999999999998,0.4117647058823529,0.5735294117647058,27,0,12,4,31,0,163.0,6.037037037037037,5.110276852439926,6,97.0,0.3145131933611919,4,69.0,0.29689668641364986,2,66.0,0.2785259832323191,0,2.0,0.9574279109112845,12,234.0
90.0,-4.25,-5.999999999999997,0.4027777777777778,0.5694444444444444,28,0,17,4,32,0,236.0,8.428571428571429,3.010615231293834,7,128.0,0.10676608200808659,4,83.0,0.11755735043419269,5,86.0,0.22291951910959812,1,6.0,0.5094131491214435,17,303.0
95.0,-3.75,-6.7499999999999964,0.42105263157894735,0.5789473684210527,34,0,15,4,38,0,223.0,6.5588235294117645,4.939724715848935,8,167.0,0.32322120114727987,1,69.0,0.2955299135533852,3,84.0,0.2666610518825181,3,19.0,0.5243662182039982,15,339.0
100.0,-2.0,-7.149999999999997,0.45,0.6,35,0,8,4,39,0,105.0,3.0,4.904472039890597,7,166.0,0.1826714407784216,0,22.0,0.7314808574440874,0,23.0,0.17225645850745466,1,21.0,0.4599064805309429,8,232.0
105.0,-2.0,-7.549999999999997,0.4523809523809524,0.5952380952380952,38,0,8,4,42,0,57.0,1.5,6.294081946080505,4,127.0,0.3087220660934583,1,25.0,0.5152716713763514,0,23.0,0.3312789658296446,3,16.0,0.458625116123384,8,191.0
110.0,-2.5,-8.049999999999997,0.4431818181818182,0.6022727272727273,40,0,10,4,44,0,78.0,1.95,4.478855530380374,3,140.0,0.17109734085303308,2,33.0,0.5365786957663211,3,34.0,0.1893600209310257,2,20.0,0.15397358971679462,10,227.0
115.0,-4.5,-8.949999999999996,0.44565217391304346,0.6086956521739131,38,0,18,9,47,0,144.0,3.789473684210526,3.380120086567824,6,164.0,0.15489921001242776,3,44.0,0.2665680636428049,6,60.0,0.19383226020521802,3,18.0,0.07444060477499281,18,286.0
