method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,episode,network,experiment_tag,epsilon,coordination,q_states,guided_actions,random_actions,greedy_actions,pressure_overrides
independent,519,1800,360,1800.0,-7476.0,253.76944444444445,671.0,5.621753241102902,17.87878787878788,20.766666666666666,47.0,4.209641644990801,14.660414041428448,718.0,675.0,0.0,1350.0,19,2x2,compact_v2,0.0780277235432169,0.0,624,82,30,1328,356
independent,520,1800,360,1800.0,-6943.0,259.1638888888889,935.0,6.12751605065945,25.27027027027027,19.28611111111111,40.0,4.151080986933418,11.665041940559094,705.0,647.0,0.0,1294.0,20,2x2,compact_v2,0.0717855056597596,0.0,632,71,33,1336,258
independent,521,1800,360,1800.0,-7718.0,266.4055555555556,846.0,5.731541456207335,17.65,21.43888888888889,42.0,4.080262024656093,14.38105545927423,736.0,693.0,0.0,1386.0,21,2x2,compact_v2,0.0660426652069788,0.0,639,72,30,1338,358
independent,522,1800,360,1800.0,-6261.0,224.62222222222223,923.0,5.498209759789973,18.29268292682927,17.391666666666666,41.0,4.620449338118879,12.1731630401159,723.0,668.0,0.0,1336.0,22,2x2,compact_v2,0.0607592519904205,0.0,647,78,32,1330,290
independent,523,1800,360,1800.0,-6166.0,208.4055555555556,816.0,5.254014351165621,21.45833333333333,17.127777777777776,38.0,4.5965575143573565,12.345445872118134,721.0,686.0,0.0,1372.0,23,2x2,compact_v2,0.0558985118311869,0.0,671,53,26,1361,232
independent,524,1800,360,1800.0,-7125.0,243.44444444444449,805.0,5.44833350191251,15.911111111111111,19.791666666666668,44.0,4.330836431203996,14.295599868658469,752.0,696.0,0.0,1392.0,24,2x2,compact_v2,0.0514266308846919,0.0,688,35,26,1379,341
independent,525,1800,360,1800.0,-7703.0,295.95,830.0,6.48844564166708,17.659574468085108,21.397222222222226,45.0,4.086229446357903,11.79083405250954,723.0,674.0,0.0,1348.0,25,2x2,compact_v2,0.0473125004139165,0.0,690,52,14,1374,351
independent,526,1800,360,1800.0,-7019.0,276.24444444444447,909.0,6.437654780939037,17.132075471698112,19.497222222222224,40.0,4.2239226145690045,12.620051751797474,692.0,644.0,0.0,1288.0,26,2x2,compact_v2,0.0435275003808032,0.0,691,40,17,1383,359
independent,527,1800,360,1800.0,-6413.0,221.18055555555557,554.0,5.4474855891525245,14.205128205128204,17.81388888888889,32.0,4.436764281847848,13.696564194848186,722.0,661.0,0.0,1322.0,27,2x2,compact_v2,0.040045300350339,0.0,693,41,17,1382,363
independent,528,1800,360,1800.0,-5749.0,194.3805555555556,695.0,5.099028107856963,12.636363636363637,15.969444444444443,41.0,4.698979090821969,12.505155436158123,708.0,661.0,0.0,1322.0,28,2x2,compact_v2,0.0368416763223118,0.0,695,37,14,1389,306
independent,529,1800,360,1800.0,-6986.0,240.26944444444445,771.0,5.529150968243603,20.83783783783784,19.405555555555555,45.0,4.235147276594099,12.56816782916837,741.0,685.0,0.0,1370.0,29,2x2,compact_v2,0.0338943422165269,0.0,701,30,16,1394,338
independent,530,1800,360,1800.0,-6378.0,233.95833333333331,727.0,6.056539801983059,22.03030303030303,17.716666666666665,42.0,4.430985914765829,13.723770233741933,669.0,629.0,0.0,1258.0,30,2x2,compact_v2,0.0311827948392047,0.0,703,22,8,1410,315
