step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,0.0175,0,17,0,5,1,18,0,41.0,2.411764705882353,7.655559587119698,0,0.0,1.0,2,12.0,0.64711457838552,2,20.0,0.44460594753257165,1,11.0,0.6050847712732378,5,43.0
60.0,-0.0625,0,20,0,5,1,21,0,66.0,3.3,8.670603598563142,0,0.0,0.9634624160728542,2,22.0,0.6386738957664162,2,30.0,0.40475587396543256,1,16.0,0.6544410179704929,5,68.0
65.0,-0.05750000000000001,0,23,0,5,1,24,0,91.0,3.9565217391304346,9.143084491063517,0,0.0,0.9541839556804611,2,31.0,0.4490438801699267,2,40.0,0.48257138040730996,1,20.0,0.6330796421060099,5,91.0
70.0,-0.06999999999999999,0,24,0,6,2,26,0,119.0,4.958333333333333,8.01114244447327,0,0.0,0.7002032584693003,3,44.0,0.001911745760981749,2,50.0,0.4848679697001078,1,25.0,0.5608101549401535,6,119.0
75.0,-0.09749999999999999,0,25,0,8,2,27,0,158.0,6.32,8.230607120228498,1,4.0,0.66166475011403,4,64.0,0.33040023122928414,2,60.0,0.32038498234594076,1,30.0,0.7063787044819702,8,158.0
80.0,-0.09999999999999998,0,23,0,8,7,30,0,198.0,8.608695652173912,7.375629799732578,1,9.0,0.5246795701912217,4,84.0,0.48417153029673854,2,70.0,0.3094150029663169,1,35.0,0.531282531602154,8,198.0
85.0,-0.11000000000000004,0,22,0,10,10,32,0,242.0,11.0,4.8269076255194925,2,16.0,0.595198558135507,4,104.0,0.2539691341962948,2,80.0,0.321619717610679,2,42.0,0.2000460840373587,10,242.0
90.0,-0.1725,0,27,0,15,10,37,0,311.0,11.518518518518519,3.4991110773671132,2,26.0,0.5687814557258083,6,133.0,0.10719713871323071,3,91.0,0.00045022030621530326,4,61.0,0.0022464150528337663,15,311.0
95.0,0.44500000000000006,0,30,0,11,10,40,0,81.0,2.7,5.970249852108782,3,16.0,0.6582696475478864,3,75.0,0.12474576001902608,1,6.0,0.33422982743010254,4,36.0,0.14442235061181172,11,133.0
100.0,-0.02249999999999999,0,32,0,12,11,43,0,137.0,4.28125,7.858326079568245,4,32.0,0.5207949060424273,3,42.0,0.22434301337953025,1,11.0,0.7439357964160896,4,57.0,0.4743197501402483,12,142.0
105.0,-0.1375,0,32,0,12,13,45,0,197.0,6.15625,7.722563055490099,4,52.0,0.42455354843986204,3,53.0,0.23822223788847002,1,16.0,0.765116613854393,4,76.0,0.4496714088152283,12,197.0
110.0,-0.16249999999999998,0,32,0,14,14,46,0,262.0,8.1875,6.891121447243148,6,77.0,0.12998240499054137,3,68.0,0.245303228070457,1,21.0,0.7393256021319928,4,96.0,0.38718344669341687,14,262.0
115.0,-0.19,0,31,0,16,16,47,0,338.0,10.903225806451612,6.1499448311475255,7,111.0,0.1240258130967156,3,83.0,0.0,2,28.0,0.599145475441608,4,116.0,0.19527795398332168,16,338.0
120.0,-0.2,0,29,0,16,18,47,0,418.0,14.413793103448276,5.5346760290919175,7,146.0,0.0,3,98.0,0.0,2,38.0,0.5252734509701851,4,136.0,0.19856222669093573,16,418.0
125.0,-0.20249999999999999,0,24,0,17,23,47,0,499.0,20.791666666666668,3.662052732181716,7,181.0,0.0,3,113.0,0.0,3,49.0,0.24329099626288697,4,156.0,0.0,17,499.0
130.0,-0.21250000000000005,0,23,0,17,25,48,0,584.0,25.391304347826086,2.6294085804824694,7,216.0,0.0,3,128.0,0.23837924255063064,3,64.0,0.004782546395281748,4,176.0,0.0,17,584.0
135.0,-0.22249999999999986,0,21,0,18,28,49,0,673.0,32.04761904761905,2.0621122268614234,7,251.0,0.0,3,143.0,0.20511688707182382,4,83.0,0.20000199622270293,4,196.0,0.0,18,673.0
140.0,0.825,0,22,0,4,29,51,0,70.0,3.1818181818181817,6.122513731433455,2,175.0,0.13016565326782245,1,47.0,0.5576310116053875,1,22.0,0.4246951035586786,0,99.0,0.404297411080965,4,343.0
