step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
275.0,-0.025,0,12,0,2,106,118,0,12.0,1.0,10.30246173526872,1,6.0,9.45504657125712e-06,0,2.0,0.8628698913015072,0,0.0,0.9982297335966221,1,8.0,0.614079200168146,2,16.0
280.0,0.0275,0,15,0,1,107,122,0,1.0,0.06666666666666667,10.774512366584332,0,0.0,0.93506014354942,0,2.0,0.8986755762945184,0,0.0,0.9303603368165332,1,3.0,0.5830201011453561,1,5.0
285.0,-0.0075,0,14,0,1,109,123,0,6.0,0.42857142857142855,11.821039187901102,0,0.0,0.9518462016852155,0,0.0,1.0,0,2.0,0.9327475028552079,1,6.0,0.45095778727909,1,8.0
290.0,0.015,0,15,0,0,110,125,0,0.0,0.0,10.503433014071643,0,0.0,0.9529679199362315,0,0.0,0.8358732157516987,0,2.0,0.5374865647783166,0,0.0,0.8345015973490377,0,2.0
295.0,-0.015,0,13,0,2,113,126,0,8.0,0.6153846153846154,11.012688897338544,0,0.0,0.9856013420278228,0,0.0,0.906353014738113,2,8.0,0.0001371809069473237,0,0.0,0.9875265450918752,2,8.0
300.0,8.673617379884035e-19,0,13,0,2,114,127,0,2.0,0.15384615384615385,10.106572926780748,0,0.0,0.9698356751224668,1,1.0,0.6164068585458834,0,6.0,0.6282060185357542,1,1.0,0.00595756314309271,2,8.0
305.0,-0.015000000000000001,0,13,0,2,116,129,0,12.0,0.9230769230769231,11.150188974307584,0,0.0,0.9409245765149934,1,6.0,0.500004482507257,0,0.0,0.9362230902569705,1,8.0,0.6321366607792893,2,14.0
310.0,0.03,0,14,0,0,117,131,0,0.0,0.0,11.91710879796312,0,0.0,0.9772789493895748,0,0.0,0.9342713146271096,0,0.0,0.9427330455207643,0,2.0,0.8345589028458102,0,2.0
315.0,0.0,0,13,0,0,120,133,0,0.0,0.0,11.737503091923408,0,0.0,0.9563845649979648,0,0.0,0.9480910292042758,0,0.0,0.03098509798723311,0,2.0,0.9625278321523482,0,2.0
320.0,0.0,0,16,0,0,120,136,0,0.0,0.0,10.883530110613872,0,0.0,0.5537996777849991,0,0.0,0.7732306913974701,0,0.0,0.9243957435131821,0,2.0,0.9470160552591697,0,2.0
325.0,-0.0225,0,14,0,3,123,137,0,9.0,0.6428571428571429,8.96425464553121,1,4.0,0.4700534717789267,2,5.0,0.43347553222708973,0,0.0,0.9316715217602032,0,2.0,0.9820438101829638,3,11.0
330.0,0.004999999999999999,0,17,0,1,126,143,0,1.0,0.058823529411764705,8.405136363987703,0,0.0,0.682907732362915,1,7.0,0.3968534535107187,0,0.0,0.9503230545451056,0,2.0,0.994954125623234,1,9.0
335.0,0.010000000000000002,0,20,0,0,127,147,0,0.0,0.0,10.145911086243606,0,0.0,0.8811852201863631,0,3.0,0.6317410085172757,0,0.0,0.7252502169238166,0,2.0,0.8469251633178317,0,5.0
340.0,-4.336808689942018e-19,0,21,0,1,127,148,0,1.0,0.047619047619047616,9.926713891216528,1,1.0,0.7098131561972294,0,2.0,0.738173785177948,0,0.0,0.6817039042690535,0,2.0,0.8268425046383688,1,5.0
345.0,-0.0024999999999999988,0,20,0,1,129,149,0,6.0,0.3,9.005067005339011,1,6.0,0.5799153301560924,0,0.0,0.02383411329980994,0,0.0,0.6114886151647932,0,0.0,0.859933862919712,1,6.0
350.0,-0.010000000000000002,0,21,0,3,129,150,0,9.0,0.42857142857142855,7.155053698288539,0,1.0,0.644416406408537,2,8.0,0.00018629256644311736,0,0.0,0.7874990477885918,1,1.0,0.4724230372659751,3,10.0
355.0,-0.049999999999999996,0,22,0,7,129,151,0,22.0,1.0,6.475985653808666,1,1.0,0.6538168727137519,0,8.0,0.6665315848346675,0,0.0,0.778652957445116,6,21.0,0.14114298824277918,7,30.0
360.0,-0.08750000000000001,1,21,0,9,132,153,0,61.0,2.9047619047619047,6.2281588561140735,0,0.0,0.7673290659286907,0,2.0,0.9504035455589785,0,0.0,0.7922551355056604,9,63.0,0.15086707086103096,9,65.0
365.0,-0.12500000000000003,2,23,0,11,132,155,0,111.0,4.826086956521739,5.358483576490379,1,4.0,0.6194424326342134,0,0.0,0.8953492472892309,1,3.0,0.34999097002187324,9,108.0,0.078391457914028,11,115.0
370.0,-0.1225,3,24,0,12,132,156,0,157.0,6.541666666666667,4.552342982940851,0,1.0,0.5577587262429173,1,1.0,0.40255062059151797,0,4.0,0.4563673288789011,11,158.0,0.0005365601126883506,12,164.0
375.0,-0.13249999999999995,3,24,0,12,133,157,0,213.0,8.875,4.78719194738592,1,2.0,0.4566914967549422,0,2.0,0.7064674443916803,0,0.0,1.0,11,213.0,2.2568962721449802e-06,12,217.0
380.0,-0.14750000000000008,4,22,0,11,135,157,0,266.0,12.090909090909092,4.223904044275106,0,4.0,0.23158449931194533,0,2.0,0.7839200220281273,0,0.0,1.0,11,270.0,0.14149278484752792,11,276.0
385.0,-0.1299999999999999,5,24,0,12,135,159,0,322.0,13.416666666666666,4.552602552991733,0,0.0,0.6617776271053273,0,0.0,1.0,0,2.0,0.8573515290682148,12,326.0,0.01412728326032269,12,328.0
390.0,-0.16250000000000003,6,25,0,14,137,162,0,387.0,15.48,5.670062540683068,1,1.0,0.7002449800968067,0,0.0,0.9097514831384286,0,2.0,0.9559010978608515,13,390.0,2.9981114061646507e-06,14,393.0
395.0,-0.16999999999999998,7,25,0,14,139,164,0,457.0,18.28,5.292968527659573,1,6.0,0.6069653745933083,0,0.0,0.9142825142125556,0,0.0,0.9820078723106643,13,455.0,0.0,14,461.0
