step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
280.0,-1.25,31,0,5,80,111,0,30.0,0.967741935483871,6.663275705611475,5,297.0,0.27871309932785304,0,33.0,0.113148106791353,0,2.0,0.8738025287439628,0,11.0,0.6136714610178082,5,343.0
285.0,-1.75,32,0,7,81,113,0,29.0,0.90625,6.412268570481357,3,252.0,0.38475723465617523,2,8.0,0.0006166742205877381,1,4.0,0.5024843943111436,1,5.0,0.59191808902564,7,269.0
290.0,-2.25,35,0,9,82,117,0,38.0,1.0857142857142856,6.094167720273536,4,155.0,0.37722947205785173,0,8.0,0.7339383027444197,3,15.0,0.1689362919854078,2,15.0,0.42566252149182277,9,193.0
295.0,-3.5,36,0,14,84,120,0,80.0,2.2222222222222223,5.504249848718229,8,185.0,0.24038905404029673,0,2.0,0.9339208097769027,3,23.0,0.3069906572779005,3,30.0,0.1945390593820694,14,240.0
300.0,-3.75,36,0,15,86,122,0,104.0,2.888888888888889,4.500945716932106,11,236.0,0.13761585884912572,1,2.0,0.46271946497018246,1,15.0,0.3960315076921225,2,29.0,0.06601768515518139,15,282.0
305.0,-4.25,40,0,17,87,127,0,162.0,4.05,5.660523089196834,12,245.0,0.27253059483900083,1,7.0,0.0,1,16.0,0.21560540035996278,3,22.0,1.8600771872458705e-05,17,290.0
310.0,-3.25,37,0,13,91,128,0,179.0,4.837837837837838,5.37425288108482,10,243.0,0.1603027686470825,0,2.0,0.940122867256156,3,30.0,8.007500794152243e-05,0,21.0,0.5652236861054416,13,296.0
315.0,-3.0,33,0,12,96,129,0,136.0,4.121212121212121,5.108256564914551,12,252.0,0.06756896750251148,0,2.0,0.9596197414228691,0,24.0,0.1562393641477312,0,4.0,0.9140111911295067,12,282.0
320.0,-2.5,36,0,10,97,133,0,72.0,2.0,6.41698804610644,9,219.0,0.1799731838699974,0,0.0,0.8416827792220185,0,2.0,0.9201407339946343,1,5.0,0.2515041258409058,10,226.0
325.0,-2.5,35,0,10,99,134,0,74.0,2.1142857142857143,6.4430085233215815,7,226.0,0.18636558689730476,0,0.0,0.9346681210888204,0,2.0,0.9387484106694219,3,16.0,3.062646460025877e-05,10,244.0
330.0,-3.5,33,0,14,102,135,0,125.0,3.787878787878788,4.4809641472143005,11,273.0,0.07657122861867399,0,0.0,1.0,0,0.0,0.574371448443673,3,31.0,0.244698018785371,14,304.0
335.0,-3.75,30,0,15,106,136,0,123.0,4.1,3.578480714159897,12,307.0,0.07229200420851671,0,0.0,1.0,2,9.0,0.32558455904810857,1,26.0,0.3929121753011186,15,342.0
340.0,-2.5,32,0,10,107,139,0,96.0,3.0,5.397611466962825,9,308.0,0.155975514308828,0,2.0,0.8698926126288823,0,7.0,0.4266566760063244,1,19.0,0.4702407578982044,10,336.0
345.0,-2.0,31,0,8,109,140,0,76.0,2.4516129032258065,5.787987323407499,8,295.0,0.11996886830440832,0,2.0,0.8367097275407851,0,0.0,0.9678477403694882,0,2.0,0.7490471766315295,8,299.0
350.0,-2.5,31,0,10,111,142,0,53.0,1.7096774193548387,4.679701246313264,8,257.0,0.10596016190368299,1,5.0,0.2377611652281283,1,3.0,0.5892501976370065,0,2.0,0.8089488331363238,10,267.0
