step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
245.0,-2.0,196,0,0.0,194,0.9897959183673469,22,0,8,76,98,0,39.0,1.7727272727272727,7.214140058650508,4,22.0,0.27494281892531763,2,7.0,0.4587093315239582,2,10.0,0.441709414899717,0,0.0,1.0,8,39.0
250.0,-1.25,200,0,0.0,198,0.99,23,0,5,77,100,0,40.0,1.7391304347826086,6.848410307610022,2,32.0,0.3750473961853177,0,6.0,0.13984234503342707,3,21.0,0.23153901006852828,0,0.0,1.0,5,59.0
255.0,-0.75,204,0,0.0,202,0.9901960784313726,19,0,3,82,101,0,31.0,1.631578947368421,7.677232037472941,3,31.0,0.3082973471693275,0,2.0,0.8912874111420499,0,16.0,0.33843029391983387,0,2.0,0.8672613731158975,3,51.0
260.0,-0.25,208,0,0.0,206,0.9903846153846154,18,0,1,84,102,0,1.0,0.05555555555555555,9.177130591205236,1,19.0,0.25955589914242466,0,2.0,0.906308996476883,0,0.0,0.7430084201405529,0,4.0,0.9001655686069622,1,25.0
265.0,-1.25,212,0,0.0,210,0.9905660377358491,19,0,5,84,103,0,14.0,0.7368421052631579,7.896180636215821,3,12.0,0.37174996100985647,1,3.0,0.2965334610843831,0,2.0,0.8516775356869365,1,3.0,0.5361748476884827,5,20.0
270.0,-0.75,216,0,0.0,214,0.9907407407407407,22,0,3,84,106,0,9.0,0.4090909090909091,7.3545669414813,0,13.0,0.6257408592720183,3,11.0,0.0022207582488977004,0,2.0,0.9337114913135285,0,4.0,0.3865222290688209,3,30.0
275.0,-1.75,220,0,0.0,218,0.990909090909091,24,0,7,85,109,0,37.0,1.5416666666666667,6.039725129683966,1,4.0,0.5654401625503586,3,28.0,0.3273514489639492,0,2.0,0.41112852124888377,3,9.0,0.0205626425253649,7,43.0
280.0,-1.5,224,0,0.0,222,0.9910714285714286,25,0,6,85,110,0,27.0,1.08,6.929290697241481,2,14.0,0.6189569851476265,0,22.0,0.5592411686841295,3,11.0,0.14840644498656097,1,15.0,0.13854564822486054,6,62.0
285.0,-2.0,228,0,0.0,226,0.9912280701754386,25,0,8,87,112,0,53.0,2.12,6.523671478069236,4,27.0,0.31055534554348774,0,2.0,0.5500893133309006,4,28.0,9.856387603565316e-05,0,0.0,1.0,8,57.0
290.0,-2.25,232,0,0.0,230,0.9913793103448276,26,0,9,88,114,0,64.0,2.4615384615384617,6.673315397721434,8,57.0,0.08977464849807472,0,0.0,0.9310205781468222,1,28.0,0.3199385006663005,0,0.0,1.0,9,85.0
295.0,-2.0,236,0,0.0,234,0.9915254237288136,23,0,8,91,114,0,60.0,2.608695652173913,6.70963100845181,7,76.0,0.03216110116388212,0,0.0,0.9586316485938663,1,12.0,0.48169332000428333,0,0.0,1.0,8,88.0
300.0,-0.75,240,0,0.0,238,0.9916666666666667,19,0,3,96,115,0,35.0,1.8421052631578947,7.821691726948381,3,70.0,0.1583948918044391,0,0.0,0.3091636443493393,0,2.0,0.9286714972614254,0,0.0,1.0,3,72.0
305.0,-0.75,244,0,0.0,242,0.9918032786885246,17,0,3,100,117,0,10.0,0.5882352941176471,7.56564054454396,2,66.0,0.2033062799808272,1,4.0,0.5000091612254165,0,2.0,0.9559390612092196,0,2.0,0.9472782643565301,3,74.0
310.0,-1.25,248,0,0.0,246,0.9919354838709677,17,0,5,101,118,0,25.0,1.4705882352941178,7.800190165697601,4,59.0,0.31021283193939736,0,2.0,0.9117539366482083,1,3.0,0.36058366341400044,0,2.0,0.967106466546074,5,66.0
315.0,-0.25,252,0,0.0,250,0.9920634920634921,17,0,1,101,118,0,8.0,0.47058823529411764,7.850474643667612,1,52.0,0.1428762449543664,0,2.0,0.9121229128606508,0,1.0,0.19094530159037415,0,2.0,0.9461805809545316,1,57.0
320.0,-0.25,256,0,0.0,254,0.9921875,17,0,1,101,118,0,2.0,0.11764705882352941,9.013691625853594,0,16.0,0.2964350856167784,1,4.0,0.11692604067117003,0,2.0,0.868291518746147,0,2.0,0.8934768540399135,1,24.0
325.0,-0.75,260,0,0.0,258,0.9923076923076923,18,0,3,102,120,0,4.0,0.2222222222222222,7.883633408667077,2,19.0,0.35699292295121493,0,4.0,0.15605871396022977,0,2.0,0.9165067037248996,1,3.0,0.08476964036163001,3,28.0
330.0,-0.75,264,0,0.0,262,0.9924242424242424,19,0,3,105,124,0,17.0,0.8947368421052632,10.17095987059145,3,33.0,0.5583595849831345,0,0.0,0.9087508718470839,0,0.0,0.885847272185631,0,2.0,0.2018434603261561,3,35.0
335.0,0.0,268,0,0.0,266,0.9925373134328358,17,0,0,107,124,0,0.0,0.0,10.386658081200993,0,17.0,0.39438150221231294,0,0.0,0.9484797720221045,0,0.0,0.9508189724279266,0,0.0,1.0,0,17.0
340.0,-0.5,272,0,0.0,270,0.9926470588235294,14,0,2,111,125,0,2.0,0.14285714285714285,9.366890648816561,1,1.0,0.3813927725175741,1,1.0,0.003271781094605817,0,2.0,0.7730524631332211,0,0.0,1.0,2,4.0
345.0,-0.5,276,0,0.0,274,0.9927536231884058,13,0,2,115,128,0,6.0,0.46153846153846156,9.369308865196796,1,1.0,0.35159260264146686,0,0.0,0.987854291840627,1,7.0,0.7899125125913347,0,0.0,1.0,2,8.0
350.0,-0.5,280,0,0.0,278,0.9928571428571429,15,0,2,115,130,0,7.0,0.4666666666666667,8.820970848177012,1,6.0,0.6226029012970735,0,2.0,0.9436535153496299,1,3.0,0.41529667372161516,0,2.0,0.9303093328803552,2,13.0
355.0,-0.75,284,0,0.0,282,0.9929577464788732,18,0,3,115,133,0,12.0,0.6666666666666666,9.764456477929313,0,0.0,0.7800010874804129,0,2.0,0.9338998366908717,3,14.0,0.32806779869026936,0,4.0,0.9461975639627505,3,20.0
360.0,-0.75,288,0,0.0,286,0.9930555555555556,20,0,3,115,135,0,7.0,0.35,9.107990448716464,0,0.0,0.9650836762158232,1,3.0,0.5346021992357256,2,21.0,0.4463867818820814,0,2.0,0.8961111016033412,3,26.0
365.0,-1.0,292,0,0.0,290,0.9931506849315068,23,0,4,115,138,0,10.0,0.43478260869565216,8.130009065564677,1,1.0,0.5547769859283136,0,1.0,0.7721959095144458,2,14.0,0.4839431737238196,1,4.0,0.11492124104344381,4,20.0
370.0,-1.0,296,0,0.0,294,0.9932432432432432,22,0,4,117,139,0,12.0,0.5454545454545454,6.592549934902187,2,9.0,0.4749203302323138,1,2.0,0.5308745568413606,1,12.0,0.09916771714543438,0,4.0,0.20468435911453436,4,27.0
375.0,-1.25,300,0,0.0,298,0.9933333333333333,22,0,5,119,141,0,18.0,0.8181818181818182,7.6158960210844695,1,7.0,0.49500625030414325,0,3.0,0.4388756705597439,4,24.0,0.00039899546101078393,0,2.0,0.8767060990881248,5,36.0
380.0,-0.5,304,0,0.0,302,0.993421052631579,21,0,2,122,143,0,13.0,0.6190476190476191,9.675845794018915,1,6.0,0.6707507184421609,0,0.0,0.7875290908061164,1,27.0,0.42939297529791426,0,4.0,0.9392470830529961,2,37.0
385.0,-0.5,308,0,0.0,306,0.9935064935064936,21,0,2,124,145,0,13.0,0.6190476190476191,10.209092925099455,2,13.0,0.39847879101799094,0,0.0,1.0,0,9.0,0.7319787395111333,0,2.0,0.944802997037558,2,24.0
390.0,-1.25,312,0,0.0,310,0.9935897435897436,23,0,5,125,148,0,30.0,1.3043478260869565,8.983562970538502,4,29.0,0.3632353266845301,0,0.0,1.0,0,0.0,0.8947063504266612,1,3.0,0.4234383077146767,5,32.0
395.0,-0.5,316,0,0.0,314,0.9936708860759493,21,0,2,128,149,0,11.0,0.5238095238095238,7.306562824350358,2,29.0,0.3475545382885494,0,0.0,1.0,0,0.0,0.6430819963887242,0,1.0,0.13667572425580773,2,30.0
400.0,-0.5,320,0,0.0,318,0.99375,18,0,2,132,150,0,7.0,0.3888888888888889,8.250229018805282,1,14.0,0.24010676670689363,0,2.0,0.8275804096864599,1,5.0,0.5613704756569156,0,0.0,0.6507163012091086,2,21.0
405.0,-0.5,324,0,0.0,322,0.9938271604938271,17,0,2,134,151,0,5.0,0.29411764705882354,7.56096296210935,2,20.0,0.2438964046383211,0,2.0,0.9248620917497598,0,0.0,0.34864459767507733,0,0.0,1.0,2,22.0
410.0,-0.75,328,0,0.0,326,0.9939024390243902,15,0,3,136,151,0,20.0,1.3333333333333333,7.927725121166604,3,32.0,0.24452949635673796,0,2.0,0.3265515723536215,0,2.0,0.7514299454443475,0,2.0,0.9511249736022805,3,38.0
415.0,-0.75,332,0,0.0,330,0.9939759036144579,15,0,3,138,153,0,9.0,0.6,6.905344322028379,0,23.0,0.4244536938877513,3,11.0,0.0017954315652470023,0,2.0,0.8119683008691042,0,2.0,0.8095298535802794,3,38.0
420.0,-0.5,336,0,0.0,334,0.9940476190476191,18,0,2,138,156,0,8.0,0.4444444444444444,7.381686418569992,1,4.0,0.7081965713683906,0,13.0,0.6142359090151408,0,2.0,0.41278328163766237,1,6.0,0.29930922043813596,2,25.0
425.0,-0.5,340,0,0.0,338,0.9941176470588236,21,0,2,138,159,0,7.0,0.3333333333333333,8.241124240800623,0,0.0,0.5045196644238198,0,2.0,0.9506421601039398,2,9.0,0.5544670616978885,0,4.0,0.1531509325904131,2,15.0
430.0,-1.0,344,0,0.0,342,0.9941860465116279,23,0,4,138,161,0,24.0,1.0434782608695652,10.099804388016308,2,7.0,0.3336426892004305,0,0.0,0.9678852491608421,2,21.0,0.5910862788877717,0,0.0,0.5620120633073721,4,28.0
435.0,-0.75,348,0,0.0,346,0.9942528735632183,21,0,3,140,161,0,18.0,0.8571428571428571,8.091087179132042,2,17.0,0.3196362691163524,0,0.0,0.48792372209806756,1,13.0,0.3849071439023183,0,0.0,1.0,3,30.0
440.0,-1.5,352,0,0.0,350,0.9943181818181818,21,0,6,143,164,0,45.0,2.142857142857143,7.673350320325219,2,27.0,0.4351202509560005,1,5.0,0.32743837230346545,3,13.0,0.3192987497303587,0,0.0,1.0,6,45.0
445.0,-0.5,356,0,0.0,354,0.9943820224719101,19,0,2,147,166,0,6.0,0.3157894736842105,7.631109855499729,0,19.0,0.6368931135220908,0,1.0,0.21547407174435088,2,20.0,0.35405985828770103,0,0.0,1.0,2,40.0
450.0,-0.75,360,0,0.0,358,0.9944444444444445,19,0,3,149,168,0,17.0,0.8947368421052632,9.570252095498947,1,1.0,0.3470083120226171,0,2.0,0.8957258190104072,2,16.0,0.4939968920972584,0,4.0,0.876955236168959,3,23.0
455.0,-1.0,364,0,0.0,362,0.9945054945054945,19,0,4,151,170,0,13.0,0.6842105263157895,8.305299453969937,3,11.0,0.25156522161023853,0,2.0,0.8898258761714969,1,12.0,0.4132907006440589,0,4.0,0.8821965734373665,4,29.0
460.0,-1.25,368,0,0.0,366,0.9945652173913043,21,0,5,151,172,0,37.0,1.7619047619047619,6.6644230169531555,3,26.0,0.3788031310642707,0,2.0,0.44927639991331025,2,11.0,0.2424103692165001,0,2.0,0.3302744950110881,5,41.0
465.0,-1.75,372,0,0.0,370,0.9946236559139785,23,0,7,151,174,0,30.0,1.3043478260869565,6.9212677255501145,1,23.0,0.6521836134220151,3,11.0,0.23901388696891052,1,12.0,0.09627470724314281,2,11.0,0.33195812699543253,7,57.0
470.0,-0.5,376,0,0.0,374,0.9946808510638298,24,0,2,153,177,0,18.0,0.75,8.530600978645401,2,18.0,0.5813680143769069,0,11.0,0.0886033819501097,0,3.0,0.7692100493646196,0,9.0,0.7866803240281729,2,41.0
475.0,-0.5,380,0,0.0,378,0.9947368421052631,25,0,2,156,181,0,5.0,0.2,10.592301218830343,1,9.0,0.6629698113446658,1,4.0,0.47439788266718846,0,2.0,0.9655912697583531,0,2.0,0.861349113847617,2,17.0
480.0,-0.75,384,0,0.0,382,0.9947916666666666,25,0,3,156,181,0,6.0,0.24,7.425168644854644,1,4.0,0.46750886030665817,0,2.0,0.7665823986100682,1,3.0,0.017811201428669973,1,4.0,0.23996744052955488,3,13.0
485.0,-0.75,388,0,0.0,386,0.9948453608247423,23,0,3,160,183,0,6.0,0.2608695652173913,6.306448700963552,2,10.0,0.2069942920803252,0,2.0,0.8034708880390882,0,2.0,0.2531115846645689,1,7.0,0.40735583101123396,3,21.0
490.0,-1.0,392,0,0.0,390,0.9948979591836735,23,0,4,162,185,0,21.0,0.9130434782608695,8.876561279719699,3,22.0,0.3004383739863289,1,3.0,0.5446345156973619,0,2.0,0.8192268194195804,0,3.0,0.7330361823238492,4,30.0
495.0,-0.5,396,0,0.0,394,0.9949494949494949,23,0,2,162,185,0,3.0,0.13043478260869565,7.745065559220845,1,20.0,0.11348201924491323,0,3.0,0.33589155889676936,0,2.0,0.8508927729675474,1,4.0,0.01944224790382945,2,29.0
500.0,-1.0,400,0,0.0,398,0.995,21,0,4,166,187,0,14.0,0.6666666666666666,8.629487091667066,2,10.0,0.3070474016592693,2,7.0,0.47511013140471825,0,0.0,0.7381863401950027,0,2.0,0.1947812864262096,4,19.0
505.0,-0.25,404,0,0.0,402,0.995049504950495,21,0,1,168,189,0,3.0,0.14285714285714285,10.293015091759239,0,6.0,0.7788480962966009,0,6.0,0.6887511598668801,1,3.0,0.4674782815495932,0,0.0,1.0,1,15.0
510.0,-0.5,408,0,0.0,406,0.9950980392156863,23,0,2,169,192,0,2.0,0.08695652173913043,10.274001113556919,1,1.0,0.7233694436133711,1,3.0,0.23738197707456518,0,2.0,0.8354152132403799,0,2.0,0.9055632638054794,2,8.0
515.0,-0.5,412,0,0.0,410,0.9951456310679612,16,0,2,176,192,0,7.0,0.4375,8.882600733220333,2,7.0,0.26683088505247793,0,2.0,0.19238457745020332,0,2.0,0.9194264014720508,0,4.0,0.9129677323409604,2,15.0
520.0,-0.75,416,0,0.0,414,0.9951923076923077,17,0,3,177,194,0,21.0,1.2352941176470589,8.117136345539059,3,21.0,0.18996130117528845,0,0.0,1.0,0,2.0,0.5164050175579551,0,2.0,0.9181341735791487,3,25.0
525.0,-1.0,420,0,0.0,418,0.9952380952380953,18,0,4,177,195,0,22.0,1.2222222222222223,7.63224440716613,1,21.0,0.30410217735035494,0,0.0,1.0,2,11.0,0.4899970263838299,1,4.0,0.4973977334235409,4,36.0
530.0,-0.25,424,0,0.0,422,0.9952830188679245,18,0,1,179,197,0,16.0,0.8888888888888888,8.35755055179838,1,16.0,0.6550070160740878,0,2.0,0.8461919876209973,0,7.0,0.4499988486683752,0,2.0,0.3984023134998454,1,27.0
535.0,-0.5,428,0,0.0,426,0.9953271028037384,15,0,2,182,197,0,5.0,0.3333333333333333,8.917469419562776,0,0.0,0.6585698960280233,0,2.0,0.8648275501763966,2,5.0,0.0014170768401000453,0,0.0,0.614707044979561,2,7.0
