step,reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
340.0,-1.75,0,0,0.0,0,0.0,30,0,7,112,142,0,162.0,5.4,8.698724160617369,1,5.0,0.6382046429242949,2,40.0,0.5634786161061082,2,63.0,0.3004936661720616,2,54.0,0.513809091262312,7,162.0
345.0,-2.0,0,0,0.0,0,0.0,30,0,8,115,145,0,200.0,6.666666666666667,7.979700409962748,2,13.0,0.491789705520386,2,50.0,0.5033007605648646,2,73.0,0.0,2,64.0,0.4808210469924994,8,200.0
350.0,-3.0,0,0,0.0,0,0.0,29,0,12,119,148,0,252.0,8.689655172413794,7.068320156842544,4,28.0,0.368429885206427,4,67.0,0.477566064192446,2,83.0,0.3333333333333333,2,74.0,0.3105247466512932,12,252.0
355.0,-3.5,0,0,0.0,0,0.0,28,0,14,122,150,0,316.0,11.285714285714286,5.339864419135999,5,51.0,0.24486269122082502,5,88.0,0.25733206347546866,2,93.0,0.47423303554386864,2,84.0,0.19868243732043436,14,316.0
360.0,-4.5,0,0,0.0,0,0.0,25,0,18,127,152,0,398.0,15.92,2.865526642778156,6,79.0,0.12589831639838361,7,119.0,0.13762026291086718,2,103.0,0.5462510195880241,3,97.0,4.891697696396687e-05,18,398.0
365.0,-1.75,0,0,0.0,0,0.0,27,0,7,127,154,0,49.0,1.8148148148148149,4.66724573220755,2,55.0,0.2413457409564787,3,61.0,0.09254175367449305,1,1.0,0.5356772469347993,1,8.0,0.35428605021326315,7,125.0
370.0,-1.75,0,0,0.0,0,0.0,29,0,7,127,156,0,65.0,2.2413793103448274,7.61601050071874,3,39.0,0.45485716029426565,1,38.0,0.29948843223669563,2,10.0,0.5362061194038307,1,14.0,0.7063302308611413,7,101.0
375.0,-2.25,0,0,0.0,0,0.0,32,0,9,127,159,0,107.0,3.34375,8.46301111989591,3,50.0,0.5043411066913849,1,16.0,0.32389228577238155,4,27.0,0.5114585597086525,1,19.0,0.7149235051695992,9,112.0
380.0,-2.5,0,0,0.0,0,0.0,30,0,10,131,161,0,156.0,5.2,7.350802664243236,4,69.0,0.40566418684884936,1,18.0,0.0,4,46.0,0.3780297910849609,1,23.0,0.689178775915014,10,156.0
385.0,-3.5,0,0,0.0,0,0.0,30,0,14,131,161,0,216.0,7.2,5.774195951241282,7,98.0,0.14664633572125288,1,23.0,0.0,5,67.0,0.15797439280882403,1,28.0,0.5514520880817975,14,216.0
390.0,-3.75,0,0,0.0,0,0.0,29,0,15,135,164,0,288.0,9.931034482758621,5.369747520088472,8,135.0,0.1054320263037283,1,28.0,0.5781975883307416,5,92.0,0.285650070117442,1,33.0,0.37611322616782,15,288.0
395.0,-3.75,0,0,0.0,0,0.0,31,0,15,137,168,0,363.0,11.709677419354838,5.616140487027302,8,175.0,0.1919375613137469,1,33.0,0.6657787074393976,5,117.0,0.3416874763747359,1,38.0,0.0,15,363.0
400.0,-4.0,0,0,0.0,0,0.0,33,0,16,140,173,0,441.0,13.363636363636363,4.916788806592771,8,215.0,0.2640765821934737,1,38.0,0.6878973369685653,6,145.0,0.23282696790634388,1,43.0,0.0,16,441.0
405.0,-5.25,0,0,0.0,0,0.0,33,0,21,143,176,0,533.0,16.151515151515152,2.604625314723543,10,261.0,0.1891009522052602,2,44.0,0.36917031173184617,8,180.0,0.029535470606116658,1,48.0,0.0,21,533.0
410.0,-4.0,0,0,0.0,0,0.0,35,0,16,144,179,0,152.0,4.3428571428571425,4.108160733369073,7,202.0,0.24334600317618632,4,15.0,0.2905173806397705,5,134.0,0.23987764169887388,0,0.0,0.7273088554961209,16,351.0
415.0,-2.75,0,0,0.0,0,0.0,38,0,11,144,182,0,99.0,2.6052631578947367,5.813922753800163,5,157.0,0.21488306243116106,4,36.0,0.5275844359507651,2,75.0,0.21111949986805106,0,1.0,0.9385051231223192,11,269.0
420.0,-2.75,0,0,0.0,0,0.0,39,0,11,145,184,0,135.0,3.4615384615384617,7.624877816750452,4,95.0,0.39407273052437014,5,61.0,0.5016866797405971,2,44.0,0.3930848196670985,0,1.0,0.8698853089240589,11,201.0
425.0,-3.25,0,0,0.0,0,0.0,39,0,13,146,185,0,195.0,5.0,7.533535467257876,4,78.0,0.38373994418659496,7,90.0,0.46518443696392386,2,48.0,0.20674886340057028,0,0.0,0.8414125269339362,13,216.0
430.0,-3.75,0,0,0.0,0,0.0,38,0,15,147,185,0,264.0,6.947368421052632,7.347593445872932,6,81.0,0.1261584895355604,7,125.0,0.41607709623126404,2,58.0,0.0,0,0.0,0.8736038265740378,15,264.0
435.0,-4.0,0,0,0.0,0,0.0,39,0,16,150,189,0,340.0,8.717948717948717,7.091770556933509,6,111.0,0.13448193725975646,8,161.0,0.4332254453656447,2,68.0,0.3052171065711976,0,0.0,0.8847934863103639,16,340.0
440.0,-4.0,0,0,0.0,0,0.0,38,0,16,154,192,0,420.0,11.052631578947368,6.121226250341874,6,141.0,0.23693311708063686,8,201.0,0.2564712399226428,2,78.0,0.4549351943566243,0,0.0,1.0,16,420.0
