step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
175.0,-1.0,-7.3500000000000005,140,0,0.0,139,0.9928571428571429,22,0,4,52,74,0,30.0,1.3636363636363635,6.62272123676602,3,25.0,0.45444533303683887,0,2.0,0.6531211944584133,1,15.0,0.14483730424275956,0,2.0,0.010114681265387199,4,44.0
180.0,-0.75,-7.500000000000001,144,0,0.0,143,0.9930555555555556,22,0,3,54,76,0,12.0,0.5454545454545454,8.504535922703836,0,20.0,0.6236324497291463,1,7.0,0.740325583791494,1,7.0,0.2649441230113118,1,7.0,2.2945020306226557e-05,3,41.0
185.0,-0.25,-7.550000000000001,148,0,0.0,147,0.9932432432432432,23,0,1,55,78,0,7.0,0.30434782608695654,8.077238979518457,0,0.0,0.49533129845623736,0,2.0,0.5132485102726291,1,9.0,0.6396288719895289,0,0.0,1.0,1,11.0
190.0,-1.75,-7.900000000000001,152,0,0.0,151,0.993421052631579,24,0,7,56,80,0,31.0,1.2916666666666667,8.018163054451028,3,10.0,0.2771329609341989,3,11.0,0.19866405457564354,1,14.0,0.7284377343758908,0,2.0,0.8863956935238638,7,37.0
195.0,-0.75,-8.050000000000002,156,0,0.0,154,0.9871794871794872,21,0,3,59,80,0,8.0,0.38095238095238093,6.497088444332759,1,14.0,0.30196848067037313,1,16.0,0.3219235003029072,1,3.0,0.43478666165128016,0,2.0,0.8001821617511992,3,35.0
200.0,-1.25,-8.300000000000002,160,0,0.0,158,0.9875,21,0,5,60,81,0,15.0,0.7142857142857143,7.218909653827599,0,2.0,0.6062744627652737,1,8.0,0.549827205901239,3,14.0,0.22167999535764618,1,6.0,0.5234316082476684,5,30.0
205.0,-0.75,-8.450000000000003,164,0,0.0,162,0.9878048780487805,26,0,3,60,86,0,5.0,0.19230769230769232,7.954119530713888,2,6.0,0.6474524992647739,0,2.0,0.8884892133648771,0,13.0,0.33237585678494613,1,6.0,0.3933053861169341,3,27.0
210.0,-1.0,-8.650000000000004,168,0,0.0,166,0.9880952380952381,27,0,4,61,88,0,18.0,0.6666666666666666,8.765720721160935,2,16.0,0.5571442329825687,1,3.0,0.23729503760877155,0,0.0,0.9713354011349034,1,8.0,0.35855021684197536,4,27.0
215.0,-0.5,-8.750000000000002,172,0,0.0,170,0.9883720930232558,27,0,2,64,91,0,7.0,0.25925925925925924,7.893949052447312,1,13.0,0.2608005334329963,0,2.0,0.41945220265235633,0,0.0,0.9204519020598848,1,8.0,0.39689730135187684,2,23.0
220.0,-1.75,-9.100000000000001,176,0,0.0,174,0.9886363636363636,23,0,7,69,92,0,31.0,1.3478260869565217,7.552311913074974,4,19.0,0.1297876583720435,0,2.0,0.8846611331046983,1,2.0,0.44056050774346495,2,13.0,0.0002750993518383703,7,36.0
