step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
160.0,-2.25,0,0,0,0.0,0.0,31,0,9,37,68,0,170.0,5.483870967741935,8.932906920065303,4,74.0,0.3911426550755243,4,70.0,0.32772376142213744,0,0.0,0.9373251717663065,1,26.0,0.6781751576114065,9,170.0
165.0,-2.25,0,0,0,0.0,0.0,30,0,9,41,71,0,215.0,7.166666666666667,8.494512148237456,4,94.0,0.31770343907084875,4,90.0,0.43986701823975916,0,0.0,0.92112527618744,1,31.0,0.5335156423521963,9,215.0
170.0,-2.25,0,0,0,0.0,0.0,27,0,9,45,72,0,260.0,9.62962962962963,7.948569440587042,4,114.0,0.0,4,110.0,0.5048981809808674,0,0.0,0.9907939126532568,1,36.0,0.6140496430538778,9,260.0
175.0,-2.75,0,0,0,0.0,0.0,25,0,11,49,74,0,309.0,12.36,5.331381227144561,4,134.0,0.2,6,134.0,0.2685742990963885,0,0.0,0.4893119315073264,1,41.0,0.2872464456919758,11,309.0
180.0,-4.5,0,0,0,0.0,0.0,22,0,18,52,74,0,383.0,17.40909090909091,1.4802874460418578,4,154.0,0.19891761656278611,10,174.0,0.013291506753525043,1,3.0,0.00011322598482270335,3,52.0,0.0014719770242753048,18,383.0
185.0,-2.5,0,0,0,0.0,0.0,22,0,10,53,75,0,73.0,3.3181818181818183,3.5138953750629387,0,61.0,0.428010502557927,7,128.0,0.05966545482079953,1,8.0,0.3515787793579332,2,16.0,0.24181889955421831,10,213.0
190.0,-1.75,0,0,0,0.0,0.0,22,0,7,53,75,0,77.0,3.5,6.629170589160335,1,2.0,0.48575377978126677,3,81.0,0.24289647831522757,1,14.0,0.698632846586195,2,27.0,0.6178016220695804,7,124.0
195.0,-1.75,0,0,0,0.0,0.0,24,0,7,53,77,0,112.0,4.666666666666667,8.068804821674865,1,7.0,0.4936192399220266,3,66.0,0.37918568661813795,1,19.0,0.7040160022319478,2,37.0,0.613658079652277,7,129.0
200.0,-1.75,0,0,0,0.0,0.0,24,0,7,54,78,0,147.0,6.125,8.128617668992012,1,12.0,0.6305749343465138,3,66.0,0.22656288839170954,1,23.0,0.6502859255757613,2,46.0,0.5677554426928215,7,147.0
205.0,-1.75,0,0,0,0.0,0.0,26,0,7,55,81,0,182.0,7.0,8.315786085421774,1,17.0,0.6283350652914471,3,81.0,0.24539145109264449,1,28.0,0.6191859929403373,2,56.0,0.5094045908072575,7,182.0
