step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
160.0,-1.0,128,0,128,1.0,0.0,20,0,4,41,61,0,16.0,0.8,7.322561320459863,0,0.0,0.9132956672069723,2,14.0,0.5110425451593762,1,4.0,0.3246525133240853,1,4.0,0.3268356020495648,4,22.0
165.0,-0.75,132,0,132,1.0,0.0,23,0,3,41,64,0,5.0,0.21739130434782608,7.305776192475982,0,0.0,0.9811234149672968,1,14.0,0.5593851797534738,2,8.0,0.2719094499181221,0,2.0,0.1796560977001288,3,24.0
170.0,-1.0,136,0,136,1.0,0.0,24,0,4,43,67,0,18.0,0.75,8.869830981346494,1,1.0,0.5815285721483592,1,6.0,0.5670346460502099,2,14.0,0.3055305861050666,0,2.0,0.8404695635270852,4,23.0
175.0,-0.75,140,0,140,1.0,0.0,24,0,3,44,68,0,13.0,0.5416666666666666,7.908601168502616,2,9.0,0.3864371518692938,1,8.0,0.4186751253331679,0,9.0,0.3266391061678776,0,2.0,0.8914077696973274,3,28.0
180.0,-1.0,144,0,144,1.0,0.0,22,0,4,48,70,0,24.0,1.0909090909090908,9.142541341563556,1,13.0,0.6426776350711597,3,14.0,0.24094160479661997,0,0.0,1.0,0,2.0,0.9380696450005588,4,29.0
185.0,-0.75,148,0,148,1.0,0.0,25,0,3,50,75,0,20.0,0.8,9.267012588679599,2,18.0,0.6053239849458268,1,13.0,0.31685285362216453,0,2.0,0.9681522246152346,0,2.0,0.8207862104016076,3,35.0
190.0,-0.25,152,0,152,1.0,0.0,26,0,1,52,78,0,3.0,0.11538461538461539,9.19913051701528,0,7.0,0.6773855115104228,0,3.0,0.6334011020900607,0,2.0,0.9591372822186651,1,7.0,0.4471437047885312,1,19.0
195.0,-0.75,156,0,156,1.0,0.0,25,0,3,55,80,0,6.0,0.24,9.087592100073177,2,5.0,0.5599299591272595,0,2.0,0.9410657647135345,1,3.0,0.496304426882884,0,7.0,0.6430240134085629,3,17.0
200.0,-1.0,160,0,160,1.0,0.0,25,0,4,56,81,0,15.0,0.6,8.022979897252682,0,6.0,0.5703396570791197,0,2.0,0.9305550743865323,3,15.0,0.03198246843300883,1,4.0,0.5509284483205136,4,27.0
205.0,-1.5,164,0,164,1.0,0.0,26,0,6,56,82,0,19.0,0.7307692307692307,6.812420236270195,2,6.0,0.40354717870720497,1,3.0,0.33412830168711094,2,20.0,0.5908736302740889,1,4.0,0.2998130381731933,6,33.0
