step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,0.0575,29,0,6,3,32,0,37.0,1.2758620689655173,8.482375952565882,4,85.0,0.41448938024362886,0,0.0,0.8758488081700196,1,4.0,0.6822084248434236,1,6.0,0.6146648201072447,6,95.0
60.0,0.07249999999999998,32,0,5,4,36,0,21.0,0.65625,7.57389960534668,0,39.0,0.5632770428443824,1,3.0,0.5558371206308195,1,7.0,0.4976504634046053,3,17.0,0.31991201198323227,5,66.0
65.0,0.0050000000000000044,32,0,7,6,38,0,41.0,1.28125,6.662597442502588,0,18.0,0.48772584015200754,3,14.0,0.5576225686862382,0,0.0,0.8881745015376582,4,32.0,0.10373798681875131,7,64.0
70.0,-0.06999999999999998,33,0,7,6,39,0,55.0,1.6666666666666667,6.227304850025285,3,29.0,0.17863478251620735,1,16.0,0.1468963479325945,0,0.0,0.9538991927276579,3,47.0,0.38389346847508304,7,92.0
75.0,-0.09500000000000003,32,0,12,8,40,0,103.0,3.21875,6.459118575496241,6,54.0,0.11527530307620039,3,12.0,0.13499863623990363,0,0.0,0.8473873222063165,3,64.0,0.5401214327959649,12,130.0
80.0,-0.17750000000000002,31,0,16,10,41,0,175.0,5.645161290322581,5.3674757831475235,7,89.0,0.2122976975726458,4,29.0,3.096097766965432e-05,1,2.0,0.3593534043183946,4,81.0,0.4157547833262601,16,201.0
85.0,-0.2025,30,0,17,12,42,0,254.0,8.466666666666667,3.5092366888494677,7,124.0,0.0009878039616468442,4,49.0,0.19436297357176235,1,3.0,0.39076327536397026,5,106.0,0.1699815685406638,17,282.0
90.0,-0.22999999999999998,28,0,18,15,43,0,344.0,12.285714285714286,3.034064711172193,8,164.0,0.0,4,69.0,0.1966639944297684,1,6.0,0.6231600584203666,5,135.0,0.22719443736940764,18,374.0
95.0,-0.08750000000000001,28,0,14,16,44,0,337.0,12.035714285714286,3.698851042021353,5,164.0,0.17244303234689395,4,89.0,0.0,0,0.0,0.572603773825149,5,156.0,0.2207570774288641,14,409.0
100.0,0.002499999999999919,32,0,11,16,48,0,288.0,9.0,6.9588959368686245,0,110.0,0.4755487158191594,4,111.0,0.4613038500159403,0,0.0,0.9631397413871284,7,187.0,0.11594379469026377,11,408.0
105.0,0.02250000000000002,30,0,9,18,48,0,245.0,8.166666666666666,6.489145926299533,1,86.0,0.43197092684799127,1,91.0,0.5138723723133514,0,0.0,0.8070747137844535,7,222.0,0.12209096304444833,9,399.0
110.0,0.09250000000000008,30,0,13,22,52,0,269.0,8.966666666666667,4.496476120317089,5,101.0,0.24931633345826473,0,2.0,0.4731000361378597,1,2.0,0.10711303055810589,7,257.0,0.0,13,362.0
115.0,-0.185,31,0,15,22,53,0,341.0,11.0,4.662599641149734,4,121.0,0.26173950842287497,1,7.0,0.36393794041961686,3,16.0,0.2500225637004373,7,292.0,0.0,15,436.0
120.0,-0.02999999999999997,30,0,15,24,54,0,232.0,7.733333333333333,4.016787510514922,4,139.0,0.2646347066565475,4,21.0,0.03902797827402503,3,33.0,0.4746397581154033,4,255.0,0.04849358748197829,15,448.0
125.0,0.2874999999999999,31,0,8,27,58,0,91.0,2.935483870967742,6.076196286300171,1,111.0,0.5583027592622524,4,36.0,0.058180061049516396,3,48.0,0.505990862411314,0,138.0,0.35168220927434607,8,333.0
130.0,0.21249999999999997,32,0,9,27,59,0,116.0,3.625,6.881898033319828,0,30.0,0.6559867790395835,4,53.0,0.30060588804255683,4,68.0,0.3254193278155447,1,97.0,0.5162975546880163,9,248.0
135.0,-0.07,33,0,9,29,62,0,116.0,3.515151515151515,5.647785555547651,1,33.0,0.4789729492271018,1,48.0,0.5321591807265574,4,87.0,0.09496689897743123,3,108.0,0.4678719049456466,9,276.0
