step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
75.0,0.02499999999999999,21,0,5,5,26,0,136.0,6.476190476190476,7.269745009618594,2,79.0,0.5573717057897621,1,43.0,0.0,2,32.0,0.4095700315423761,0,2.0,0.39133020839694804,5,156.0
80.0,-0.06749999999999999,24,0,10,5,29,0,154.0,6.416666666666667,6.466100577423799,2,89.0,0.49463263871409424,1,48.0,0.0,2,29.0,0.5179106170452441,5,17.0,0.06558061258624116,10,183.0
85.0,-0.0975,22,0,10,8,30,0,194.0,8.818181818181818,4.633869423897504,3,103.0,0.24818122807038465,1,53.0,0.0,3,31.0,0.3805646579523505,3,35.0,0.3147672853081095,10,222.0
90.0,-0.03749999999999997,22,0,8,9,31,0,213.0,9.681818181818182,4.8877319126365615,4,119.0,0.1986813672289581,1,58.0,0.0,0,16.0,0.33326521323964486,3,44.0,0.26332613564231255,8,237.0
95.0,-0.08250000000000005,24,0,12,9,33,0,263.0,10.958333333333334,6.442740938458944,4,136.0,0.19420055570300362,1,63.0,0.0,2,9.0,0.6513760464539917,5,62.0,0.0006572520472705022,12,270.0
100.0,-0.1525,26,0,13,10,36,0,324.0,12.461538461538462,6.572637659380239,4,156.0,0.4065605856996541,1,68.0,0.4745121102438468,3,20.0,0.5227264027647632,5,87.0,6.388942147323701e-06,13,331.0
105.0,-0.16,24,0,14,14,38,0,390.0,16.25,4.37295205362637,4,176.0,0.3048476444997005,1,73.0,0.4747980097855405,4,34.0,0.280395740785345,5,112.0,0.0,14,395.0
110.0,-0.2025,24,0,17,15,39,0,471.0,19.625,3.4904821582451304,5,200.0,0.2022384188984557,1,78.0,0.0,6,61.0,0.2614682250529119,5,137.0,0.1553156656304244,17,476.0
115.0,0.009999999999999981,25,0,16,16,41,0,461.0,18.44,2.6149058799978837,7,229.0,0.12466563612387994,0,0.0,0.9104175199695016,4,81.0,0.0733980934467253,5,162.0,0.157465246711146,16,472.0
120.0,-0.18,26,0,16,16,42,0,536.0,20.615384615384617,3.8224666338314544,5,254.0,0.1654582360779513,0,0.0,0.9227359717292982,6,103.0,8.082499398148077e-05,5,187.0,0.013361215134860813,16,544.0
125.0,-0.20500000000000002,30,0,17,16,46,0,620.0,20.666666666666668,5.51801725951018,5,275.0,0.26928036435278596,0,0.0,0.9630394844453297,6,135.0,0.29375346313039885,6,216.0,0.13069972497323412,17,626.0
130.0,-0.18999999999999995,26,0,16,20,46,0,696.0,26.76923076923077,4.280308421326645,5,300.0,0.2717921711124122,0,0.0,0.948268729258422,6,165.0,0.29597389736803736,5,237.0,0.26750601257142387,16,702.0
135.0,-0.21750000000000003,28,0,19,20,48,0,783.0,27.964285714285715,3.7214929353241923,6,327.0,0.2312493983092941,0,0.0,0.9363780432659211,8,200.0,0.06443228292312757,5,262.0,0.36209816072551493,19,789.0
140.0,-0.26,32,0,22,20,52,0,887.0,27.71875,3.8735490691476566,7,359.0,0.2854776233554942,0,0.0,0.9310878255630647,10,247.0,6.678556420145965e-05,5,287.0,0.14061350513337575,22,893.0
